,Datetime,n_spawn,entrance,route,spawn_delay,Adjusted_Datetime
314,2024-03-04 09:17:29,1.0,E22,route_E22_A6,0,2024-03-04 09:17:29
236,2024-03-04 09:17:38,1.0,E24,route_E24_A2,9,2024-03-04 09:17:29
93,2024-03-04 09:17:32,1.0,E6,route_E6_A2,2,2024-03-04 09:17:30
84,2024-03-04 09:17:33,1.0,E6,route_E6_A2,2,2024-03-04 09:17:31
237,2024-03-04 09:17:41,1.0,E24,route_E24_A6,9,2024-03-04 09:17:32
312,2024-03-04 09:17:33,1.0,E22,route_E22_A6,0,2024-03-04 09:17:33
530,2024-03-04 09:17:38,1.0,E4,route_E4_A16,3,2024-03-04 09:17:35
102,2024-03-04 09:17:37,1.0,E6,route_E6_A2,2,2024-03-04 09:17:35
400,2024-03-04 09:17:36,1.0,E10,route_E10_A5,1,2024-03-04 09:17:35
529,2024-03-04 09:17:41,1.0,E4,route_E4_A7,3,2024-03-04 09:17:38
528,2024-03-04 09:17:43,1.0,E4,route_E4_A7,3,2024-03-04 09:17:40
148,2024-03-04 09:17:43,1.0,E1,route_E1_A16,2,2024-03-04 09:17:41
527,2024-03-04 09:17:46,1.0,E4,route_E4_A7,3,2024-03-04 09:17:43
526,2024-03-04 09:17:48,1.0,E4,route_E4_A7,3,2024-03-04 09:17:45
525,2024-03-04 09:17:52,1.0,E4,route_E4_A7,3,2024-03-04 09:17:49
524,2024-03-04 09:17:55,1.0,E4,route_E4_A7,3,2024-03-04 09:17:52
523,2024-03-04 09:17:57,1.0,E4,route_E4_A7,3,2024-03-04 09:17:54
53,2024-03-04 09:17:59,1.0,E5,route_E5_A3,4,2024-03-04 09:17:55
522,2024-03-04 09:17:59,1.0,E4,route_E4_A7,3,2024-03-04 09:17:56
54,2024-03-04 09:18:01,1.0,E5,route_E5_A3,4,2024-03-04 09:17:57
311,2024-03-04 09:17:59,1.0,E22,route_E22_A2,0,2024-03-04 09:17:59
107,2024-03-04 09:18:04,1.0,E20,route_E20_A2,4,2024-03-04 09:18:00
401,2024-03-04 09:18:02,1.0,E10,route_E10_A5,1,2024-03-04 09:18:01
521,2024-03-04 09:18:05,1.0,E4,route_E4_A16,3,2024-03-04 09:18:02
520,2024-03-04 09:18:08,1.0,E4,route_E4_A7,3,2024-03-04 09:18:05
537,2024-03-04 09:18:14,1.0,E12,route_E12_A8,3,2024-03-04 09:18:11
310,2024-03-04 09:18:15,1.0,E22,route_E22_A2,0,2024-03-04 09:18:15
47,2024-03-04 09:18:18,1.0,E7,route_E7_A16,2,2024-03-04 09:18:16
46,2024-03-04 09:18:20,1.0,E7,route_E7_A18,2,2024-03-04 09:18:18
309,2024-03-04 09:18:19,1.0,E22,route_E22_A7,0,2024-03-04 09:18:19
45,2024-03-04 09:18:22,1.0,E7,route_E7_A18,2,2024-03-04 09:18:20
534,2024-03-04 09:18:23,1.0,E12,route_E12_A8,3,2024-03-04 09:18:20
308,2024-03-04 09:18:22,1.0,E22,route_E22_A2,0,2024-03-04 09:18:22
44,2024-03-04 09:18:26,1.0,E7,route_E7_A18,2,2024-03-04 09:18:24
385,2024-03-04 09:18:25,1.0,E2,route_E2_A3,0,2024-03-04 09:18:25
384,2024-03-04 09:18:25,1.0,E2,route_E2_A3,0,2024-03-04 09:18:25
535,2024-03-04 09:18:28,1.0,E12,route_E12_A8,3,2024-03-04 09:18:25
33,2024-03-04 09:18:29,1.0,E13,route_E13_A6,4,2024-03-04 09:18:25
307,2024-03-04 09:18:26,1.0,E22,route_E22_A1,0,2024-03-04 09:18:26
382,2024-03-04 09:18:27,1.0,E2,route_E2_A3,0,2024-03-04 09:18:27
383,2024-03-04 09:18:27,1.0,E2,route_E2_A3,0,2024-03-04 09:18:27
547,2024-03-04 09:18:30,1.0,E12,route_E12_A8,3,2024-03-04 09:18:27
381,2024-03-04 09:18:28,1.0,E2,route_E2_A3,0,2024-03-04 09:18:28
55,2024-03-04 09:18:32,1.0,E5,route_E5_A3,4,2024-03-04 09:18:28
378,2024-03-04 09:18:29,1.0,E2,route_E2_A3,0,2024-03-04 09:18:29
379,2024-03-04 09:18:29,1.0,E2,route_E2_A3,0,2024-03-04 09:18:29
380,2024-03-04 09:18:29,1.0,E2,route_E2_A3,0,2024-03-04 09:18:29
377,2024-03-04 09:18:30,1.0,E2,route_E2_A3,0,2024-03-04 09:18:30
375,2024-03-04 09:18:31,1.0,E2,route_E2_A3,0,2024-03-04 09:18:31
376,2024-03-04 09:18:31,1.0,E2,route_E2_A3,0,2024-03-04 09:18:31
548,2024-03-04 09:18:34,1.0,E12,route_E12_A8,3,2024-03-04 09:18:31
374,2024-03-04 09:18:32,1.0,E2,route_E2_A3,0,2024-03-04 09:18:32
373,2024-03-04 09:18:33,1.0,E2,route_E2_A3,0,2024-03-04 09:18:33
306,2024-03-04 09:18:33,1.0,E22,route_E22_A2,0,2024-03-04 09:18:33
372,2024-03-04 09:18:34,1.0,E2,route_E2_A3,0,2024-03-04 09:18:34
357,2024-03-04 09:18:38,1.0,E9,route_E9_A1,3,2024-03-04 09:18:35
390,2024-03-04 09:18:39,1.0,E11,route_E11_A18,2,2024-03-04 09:18:37
101,2024-03-04 09:18:40,1.0,E6,route_E6_A2,2,2024-03-04 09:18:38
305,2024-03-04 09:18:39,1.0,E22,route_E22_A1,0,2024-03-04 09:18:39
43,2024-03-04 09:18:44,1.0,E7,route_E7_A18,2,2024-03-04 09:18:42
100,2024-03-04 09:18:47,1.0,E6,route_E6_A2,2,2024-03-04 09:18:45
304,2024-03-04 09:18:46,1.0,E22,route_E22_A1,0,2024-03-04 09:18:46
519,2024-03-04 09:18:52,1.0,E4,route_E4_A7,3,2024-03-04 09:18:49
303,2024-03-04 09:18:50,1.0,E22,route_E22_A7,0,2024-03-04 09:18:50
518,2024-03-04 09:18:54,1.0,E4,route_E4_A7,3,2024-03-04 09:18:51
517,2024-03-04 09:18:56,1.0,E4,route_E4_A7,3,2024-03-04 09:18:53
302,2024-03-04 09:18:54,1.0,E22,route_E22_A2,0,2024-03-04 09:18:54
516,2024-03-04 09:18:59,1.0,E4,route_E4_A7,3,2024-03-04 09:18:56
313,2024-03-04 09:18:57,1.0,E22,route_E22_A7,0,2024-03-04 09:18:57
515,2024-03-04 09:19:02,1.0,E4,route_E4_A18,3,2024-03-04 09:18:59
514,2024-03-04 09:19:03,1.0,E4,route_E4_A7,3,2024-03-04 09:19:00
327,2024-03-04 09:19:01,1.0,E22,route_E22_A6,0,2024-03-04 09:19:01
402,2024-03-04 09:19:04,1.0,E10,route_E10_A5,1,2024-03-04 09:19:03
328,2024-03-04 09:19:04,1.0,E22,route_E22_A1,0,2024-03-04 09:19:04
513,2024-03-04 09:19:07,1.0,E4,route_E4_A7,3,2024-03-04 09:19:04
56,2024-03-04 09:19:08,1.0,E5,route_E5_A3,4,2024-03-04 09:19:04
329,2024-03-04 09:19:06,1.0,E22,route_E22_A1,0,2024-03-04 09:19:06
512,2024-03-04 09:19:10,1.0,E4,route_E4_A7,3,2024-03-04 09:19:07
149,2024-03-04 09:19:10,1.0,E1,route_E1_A16,2,2024-03-04 09:19:08
354,2024-03-04 09:19:09,1.0,E22,route_E22_A1,0,2024-03-04 09:19:09
75,2024-03-04 09:19:10,1.0,E17,route_E17_A9,1,2024-03-04 09:19:09
511,2024-03-04 09:19:13,1.0,E4,route_E4_A18,3,2024-03-04 09:19:10
353,2024-03-04 09:19:12,1.0,E22,route_E22_A6,0,2024-03-04 09:19:12
137,2024-03-04 09:19:15,1.0,E3,route_E3_A1,3,2024-03-04 09:19:12
238,2024-03-04 09:19:23,1.0,E24,route_E24_A2,9,2024-03-04 09:19:14
352,2024-03-04 09:19:15,1.0,E22,route_E22_A2,0,2024-03-04 09:19:15
138,2024-03-04 09:19:19,1.0,E3,route_E3_A1,3,2024-03-04 09:19:16
239,2024-03-04 09:19:25,1.0,E24,route_E24_A2,9,2024-03-04 09:19:16
351,2024-03-04 09:19:17,1.0,E22,route_E22_A6,0,2024-03-04 09:19:17
139,2024-03-04 09:19:21,1.0,E3,route_E3_A1,3,2024-03-04 09:19:18
