,Datetime,n_spawn,entrance,route,spawn_delay,Adjusted_Datetime
0,2024-03-04 09:15:31,1.0,E13,route_E13_A6,4,2024-03-04 09:15:27
1,2024-03-04 09:19:11,1.0,E13,route_E13_A6,4,2024-03-04 09:19:07
2,2024-03-04 09:20:23,1.0,E13,route_E13_A6,4,2024-03-04 09:20:19
3,2024-03-04 09:20:26,1.0,E13,route_E13_A6,4,2024-03-04 09:20:22
4,2024-03-04 09:22:35,1.0,E13,route_E13_A6,4,2024-03-04 09:22:31
5,2024-03-04 09:22:38,1.0,E13,route_E13_A6,4,2024-03-04 09:22:34
6,2024-03-04 09:25:49,1.0,E13,route_E13_A6,4,2024-03-04 09:25:45
7,2024-03-04 09:28:24,1.0,E13,route_E13_A6,4,2024-03-04 09:28:20
8,2024-03-04 09:30:10,1.0,E13,route_E13_A6,4,2024-03-04 09:30:06
9,2024-03-04 09:31:57,1.0,E13,route_E13_A6,4,2024-03-04 09:31:53
10,2024-03-04 09:32:01,1.0,E13,route_E13_A6,4,2024-03-04 09:31:57
11,2024-03-04 09:35:58,1.0,E13,route_E13_A6,4,2024-03-04 09:35:54
12,2024-03-04 09:36:00,1.0,E13,route_E13_A6,4,2024-03-04 09:35:56
13,2024-03-04 09:36:18,1.0,E13,route_E13_A6,4,2024-03-04 09:36:14
14,2024-03-04 09:37:19,1.0,E13,route_E13_A6,4,2024-03-04 09:37:15
15,2024-03-04 09:37:22,1.0,E13,route_E13_A6,4,2024-03-04 09:37:18
16,2024-03-04 09:38:15,1.0,E13,route_E13_A6,4,2024-03-04 09:38:11
17,2024-03-04 09:38:39,1.0,E13,route_E13_A6,4,2024-03-04 09:38:35
18,2024-03-04 09:40:15,1.0,E13,route_E13_A6,4,2024-03-04 09:40:11
19,2024-03-04 09:40:29,1.0,E13,route_E13_A6,4,2024-03-04 09:40:25
20,2024-03-04 09:42:25,1.0,E13,route_E13_A2,4,2024-03-04 09:42:21
