,Datetime,n_spawn,entrance,route,spawn_delay,Adjusted_Datetime
282,2024-03-04 09:17:02,1.0,E22,route_E22_A2,0,2024-03-04 09:17:02
451,2024-03-04 09:17:05,1.0,E7,route_E7_A16,2,2024-03-04 09:17:03
195,2024-03-04 09:17:08,1.0,E12,route_E12_A8,3,2024-03-04 09:17:05
450,2024-03-04 09:17:11,1.0,E7,route_E7_A16,2,2024-03-04 09:17:09
459,2024-03-04 09:17:13,1.0,E6,route_E6_A2,2,2024-03-04 09:17:11
151,2024-03-04 09:17:14,1.0,E11,route_E11_A16,2,2024-03-04 09:17:12
473,2024-03-04 09:17:15,1.0,E6,route_E6_A2,2,2024-03-04 09:17:13
150,2024-03-04 09:17:17,1.0,E11,route_E11_A7,2,2024-03-04 09:17:15
144,2024-03-04 09:17:18,1.0,E9,route_E9_A2,3,2024-03-04 09:17:15
266,2024-03-04 09:17:20,1.0,E4,route_E4_A16,3,2024-03-04 09:17:17
157,2024-03-04 09:17:20,1.0,E10,route_E10_A5,1,2024-03-04 09:17:19
267,2024-03-04 09:17:25,1.0,E4,route_E4_A16,3,2024-03-04 09:17:22
117,2024-03-04 09:17:34,1.0,E24,route_E24_A2,9,2024-03-04 09:17:25
268,2024-03-04 09:17:28,1.0,E4,route_E4_A7,3,2024-03-04 09:17:25
116,2024-03-04 09:17:37,1.0,E24,route_E24_A6,9,2024-03-04 09:17:28
115,2024-03-04 09:17:39,1.0,E24,route_E24_A2,9,2024-03-04 09:17:30
295,2024-03-04 09:17:36,1.0,E5,route_E5_A3,4,2024-03-04 09:17:32
114,2024-03-04 09:17:41,1.0,E24,route_E24_A2,9,2024-03-04 09:17:32
120,2024-03-04 09:17:44,1.0,E24,route_E24_A2,9,2024-03-04 09:17:35
123,2024-03-04 09:17:47,1.0,E24,route_E24_A2,9,2024-03-04 09:17:38
124,2024-03-04 09:17:49,1.0,E24,route_E24_A2,9,2024-03-04 09:17:40
125,2024-03-04 09:17:51,1.0,E24,route_E24_A2,9,2024-03-04 09:17:42
269,2024-03-04 09:17:49,1.0,E4,route_E4_A16,3,2024-03-04 09:17:46
140,2024-03-04 09:17:55,1.0,E24,route_E24_A16,9,2024-03-04 09:17:46
139,2024-03-04 09:17:57,1.0,E24,route_E24_A2,9,2024-03-04 09:17:48
270,2024-03-04 09:17:52,1.0,E4,route_E4_A16,3,2024-03-04 09:17:49
149,2024-03-04 09:17:53,1.0,E11,route_E11_A16,2,2024-03-04 09:17:51
256,2024-03-04 09:17:55,1.0,E4,route_E4_A7,3,2024-03-04 09:17:52
138,2024-03-04 09:18:01,1.0,E24,route_E24_A2,9,2024-03-04 09:17:52
137,2024-03-04 09:18:03,1.0,E24,route_E24_A6,9,2024-03-04 09:17:54
263,2024-03-04 09:17:58,1.0,E4,route_E4_A16,3,2024-03-04 09:17:55
310,2024-03-04 09:18:00,1.0,E5,route_E5_A3,4,2024-03-04 09:17:56
136,2024-03-04 09:18:05,1.0,E24,route_E24_A2,9,2024-03-04 09:17:56
346,2024-03-04 09:18:06,1.0,E5,route_E5_A3,4,2024-03-04 09:18:02
186,2024-03-04 09:18:06,1.0,E2,route_E2_A3,0,2024-03-04 09:18:06
184,2024-03-04 09:18:09,1.0,E2,route_E2_A3,0,2024-03-04 09:18:09
284,2024-03-04 09:18:10,1.0,E22,route_E22_A7,0,2024-03-04 09:18:10
174,2024-03-04 09:18:10,1.0,E2,route_E2_A3,0,2024-03-04 09:18:10
168,2024-03-04 09:18:13,1.0,E2,route_E2_A3,0,2024-03-04 09:18:13
169,2024-03-04 09:18:15,1.0,E2,route_E2_A3,0,2024-03-04 09:18:15
170,2024-03-04 09:18:17,1.0,E2,route_E2_A3,0,2024-03-04 09:18:17
171,2024-03-04 09:18:19,1.0,E2,route_E2_A3,0,2024-03-04 09:18:19
172,2024-03-04 09:18:22,1.0,E2,route_E2_A3,0,2024-03-04 09:18:22
291,2024-03-04 09:18:22,1.0,E22,route_E22_A2,0,2024-03-04 09:18:22
173,2024-03-04 09:18:24,1.0,E2,route_E2_A3,0,2024-03-04 09:18:24
285,2024-03-04 09:18:24,1.0,E22,route_E22_A1,0,2024-03-04 09:18:24
175,2024-03-04 09:18:26,1.0,E2,route_E2_A3,0,2024-03-04 09:18:26
286,2024-03-04 09:18:29,1.0,E22,route_E22_A7,0,2024-03-04 09:18:29
347,2024-03-04 09:18:36,1.0,E5,route_E5_A3,4,2024-03-04 09:18:32
64,2024-03-04 09:18:35,1.0,E3,route_E3_A1,3,2024-03-04 09:18:32
143,2024-03-04 09:18:35,1.0,E9,route_E9_A2,3,2024-03-04 09:18:32
135,2024-03-04 09:18:43,1.0,E24,route_E24_A6,9,2024-03-04 09:18:34
65,2024-03-04 09:18:38,1.0,E3,route_E3_A1,3,2024-03-04 09:18:35
348,2024-03-04 09:18:40,1.0,E5,route_E5_A3,4,2024-03-04 09:18:36
134,2024-03-04 09:18:46,1.0,E24,route_E24_A2,9,2024-03-04 09:18:37
66,2024-03-04 09:18:41,1.0,E3,route_E3_A1,3,2024-03-04 09:18:38
67,2024-03-04 09:18:43,1.0,E3,route_E3_A1,3,2024-03-04 09:18:40
133,2024-03-04 09:18:49,1.0,E24,route_E24_A2,9,2024-03-04 09:18:40
287,2024-03-04 09:18:42,1.0,E22,route_E22_A1,0,2024-03-04 09:18:42
68,2024-03-04 09:18:45,1.0,E3,route_E3_A1,3,2024-03-04 09:18:42
142,2024-03-04 09:18:45,1.0,E9,route_E9_A2,3,2024-03-04 09:18:42
132,2024-03-04 09:18:52,1.0,E24,route_E24_A2,9,2024-03-04 09:18:43
131,2024-03-04 09:18:54,1.0,E24,route_E24_A1,9,2024-03-04 09:18:45
288,2024-03-04 09:18:46,1.0,E22,route_E22_A2,0,2024-03-04 09:18:46
194,2024-03-04 09:18:49,1.0,E12,route_E12_A18,3,2024-03-04 09:18:46
130,2024-03-04 09:18:57,1.0,E24,route_E24_A2,9,2024-03-04 09:18:48
200,2024-03-04 09:18:52,1.0,E12,route_E12_A18,3,2024-03-04 09:18:49
164,2024-03-04 09:18:52,1.0,E11,route_E11_A16,2,2024-03-04 09:18:50
129,2024-03-04 09:19:00,1.0,E24,route_E24_A2,9,2024-03-04 09:18:51
209,2024-03-04 09:18:55,1.0,E12,route_E12_A18,3,2024-03-04 09:18:52
128,2024-03-04 09:19:02,1.0,E24,route_E24_A2,9,2024-03-04 09:18:53
127,2024-03-04 09:19:05,1.0,E24,route_E24_A2,9,2024-03-04 09:18:56
126,2024-03-04 09:19:08,1.0,E24,route_E24_A2,9,2024-03-04 09:18:59
483,2024-03-04 09:19:03,1.0,E13,route_E13_A2,4,2024-03-04 09:18:59
210,2024-03-04 09:19:04,1.0,E12,route_E12_A8,3,2024-03-04 09:19:01
113,2024-03-04 09:19:11,1.0,E24,route_E24_A1,9,2024-03-04 09:19:02
112,2024-03-04 09:19:13,1.0,E24,route_E24_A2,9,2024-03-04 09:19:04
111,2024-03-04 09:19:16,1.0,E24,route_E24_A2,9,2024-03-04 09:19:07
255,2024-03-04 09:19:11,1.0,E4,route_E4_A18,3,2024-03-04 09:19:08
93,2024-03-04 09:19:19,1.0,E24,route_E24_A2,9,2024-03-04 09:19:10
245,2024-03-04 09:19:20,1.0,E4,route_E4_A16,3,2024-03-04 09:19:17
398,2024-03-04 09:19:22,1.0,E5,route_E5_A3,4,2024-03-04 09:19:18
289,2024-03-04 09:19:22,1.0,E22,route_E22_A2,0,2024-03-04 09:19:22
239,2024-03-04 09:19:25,1.0,E4,route_E4_A16,3,2024-03-04 09:19:22
397,2024-03-04 09:19:32,1.0,E5,route_E5_A3,4,2024-03-04 09:19:28
229,2024-03-04 09:19:34,1.0,E17,route_E17_A6,1,2024-03-04 09:19:33
508,2024-03-04 09:19:34,1.0,E15,route_E15_A7,1,2024-03-04 09:19:33
290,2024-03-04 09:19:34,1.0,E22,route_E22_A2,0,2024-03-04 09:19:34
396,2024-03-04 09:19:40,1.0,E5,route_E5_A3,4,2024-03-04 09:19:36
292,2024-03-04 09:19:37,1.0,E22,route_E22_A1,0,2024-03-04 09:19:37
240,2024-03-04 09:19:40,1.0,E4,route_E4_A7,3,2024-03-04 09:19:37
311,2024-03-04 09:19:40,1.0,E22,route_E22_A2,0,2024-03-04 09:19:40
0,2024-03-04 09:19:43,1.0,E1,route_E1_A7,2,2024-03-04 09:19:41
165,2024-03-04 09:19:44,1.0,E11,route_E11_A7,2,2024-03-04 09:19:42
328,2024-03-04 09:19:44,1.0,E22,route_E22_A1,0,2024-03-04 09:19:44
521,2024-03-04 09:19:46,1.0,E1,route_E1_A7,2,2024-03-04 09:19:44
241,2024-03-04 09:19:48,1.0,E4,route_E4_A16,3,2024-03-04 09:19:45
522,2024-03-04 09:19:48,1.0,E1,route_E1_A16,2,2024-03-04 09:19:46
91,2024-03-04 09:19:55,1.0,E24,route_E24_A2,9,2024-03-04 09:19:46
182,2024-03-04 09:19:47,1.0,E2,route_E2_A3,0,2024-03-04 09:19:47
176,2024-03-04 09:19:49,1.0,E2,route_E2_A3,0,2024-03-04 09:19:49
90,2024-03-04 09:19:58,1.0,E24,route_E24_A6,9,2024-03-04 09:19:49
530,2024-03-04 09:19:52,1.0,E1,route_E1_A16,2,2024-03-04 09:19:50
89,2024-03-04 09:20:01,1.0,E24,route_E24_A2,9,2024-03-04 09:19:52
524,2024-03-04 09:19:54,1.0,E1,route_E1_A16,2,2024-03-04 09:19:52
312,2024-03-04 09:19:54,1.0,E22,route_E22_A2,0,2024-03-04 09:19:54
88,2024-03-04 09:20:04,1.0,E24,route_E24_A2,9,2024-03-04 09:19:55
177,2024-03-04 09:19:55,1.0,E2,route_E2_A3,0,2024-03-04 09:19:55
525,2024-03-04 09:19:58,1.0,E1,route_E1_A7,2,2024-03-04 09:19:56
331,2024-03-04 09:19:57,1.0,E22,route_E22_A2,0,2024-03-04 09:19:57
395,2024-03-04 09:20:01,1.0,E5,route_E5_A3,4,2024-03-04 09:19:57
87,2024-03-04 09:20:06,1.0,E24,route_E24_A2,9,2024-03-04 09:19:57
178,2024-03-04 09:19:59,1.0,E2,route_E2_A3,0,2024-03-04 09:19:59
86,2024-03-04 09:20:09,1.0,E24,route_E24_A16,9,2024-03-04 09:20:00
472,2024-03-04 09:20:03,1.0,E6,route_E6_A2,2,2024-03-04 09:20:01
92,2024-03-04 09:20:12,1.0,E24,route_E24_A2,9,2024-03-04 09:20:03
471,2024-03-04 09:20:06,1.0,E6,route_E6_A2,2,2024-03-04 09:20:04
484,2024-03-04 09:20:08,1.0,E13,route_E13_A2,4,2024-03-04 09:20:04
449,2024-03-04 09:20:07,1.0,E7,route_E7_A16,2,2024-03-04 09:20:05
85,2024-03-04 09:20:15,1.0,E24,route_E24_A2,9,2024-03-04 09:20:06
470,2024-03-04 09:20:09,1.0,E6,route_E6_A2,2,2024-03-04 09:20:07
448,2024-03-04 09:20:11,1.0,E7,route_E7_A18,2,2024-03-04 09:20:09
83,2024-03-04 09:20:18,1.0,E24,route_E24_A2,9,2024-03-04 09:20:09
82,2024-03-04 09:20:21,1.0,E24,route_E24_A2,9,2024-03-04 09:20:12
469,2024-03-04 09:20:15,1.0,E6,route_E6_A2,2,2024-03-04 09:20:13
166,2024-03-04 09:20:18,1.0,E11,route_E11_A16,2,2024-03-04 09:20:16
468,2024-03-04 09:20:18,1.0,E6,route_E6_A2,2,2024-03-04 09:20:16
163,2024-03-04 09:20:17,1.0,E10,route_E10_A5,1,2024-03-04 09:20:16
211,2024-03-04 09:20:21,1.0,E12,route_E12_A8,3,2024-03-04 09:20:18
226,2024-03-04 09:20:23,1.0,E12,route_E12_A18,3,2024-03-04 09:20:20
242,2024-03-04 09:20:25,1.0,E4,route_E4_A7,3,2024-03-04 09:20:22
332,2024-03-04 09:20:24,1.0,E22,route_E22_A2,0,2024-03-04 09:20:24
243,2024-03-04 09:20:27,1.0,E4,route_E4_A7,3,2024-03-04 09:20:24
69,2024-03-04 09:20:30,1.0,E3,route_E3_A1,3,2024-03-04 09:20:27
333,2024-03-04 09:20:27,1.0,E22,route_E22_A2,0,2024-03-04 09:20:27
70,2024-03-04 09:20:31,1.0,E3,route_E3_A1,3,2024-03-04 09:20:28
244,2024-03-04 09:20:32,1.0,E4,route_E4_A7,3,2024-03-04 09:20:29
71,2024-03-04 09:20:34,1.0,E3,route_E3_A1,3,2024-03-04 09:20:31
246,2024-03-04 09:20:36,1.0,E4,route_E4_A7,3,2024-03-04 09:20:33
72,2024-03-04 09:20:36,1.0,E3,route_E3_A1,3,2024-03-04 09:20:33
81,2024-03-04 09:20:43,1.0,E24,route_E24_A6,9,2024-03-04 09:20:34
231,2024-03-04 09:20:37,1.0,E17,route_E17_A6,1,2024-03-04 09:20:36
73,2024-03-04 09:20:39,1.0,E3,route_E3_A1,3,2024-03-04 09:20:36
80,2024-03-04 09:20:46,1.0,E24,route_E24_A2,9,2024-03-04 09:20:37
334,2024-03-04 09:20:37,1.0,E22,route_E22_A2,0,2024-03-04 09:20:37
58,2024-03-04 09:20:40,1.0,E3,route_E3_A1,3,2024-03-04 09:20:37
253,2024-03-04 09:20:41,1.0,E4,route_E4_A7,3,2024-03-04 09:20:38
79,2024-03-04 09:20:48,1.0,E24,route_E24_A2,9,2024-03-04 09:20:39
335,2024-03-04 09:20:40,1.0,E22,route_E22_A1,0,2024-03-04 09:20:40
57,2024-03-04 09:20:43,1.0,E3,route_E3_A1,3,2024-03-04 09:20:40
247,2024-03-04 09:20:43,1.0,E4,route_E4_A7,3,2024-03-04 09:20:40
394,2024-03-04 09:20:46,1.0,E5,route_E5_A3,4,2024-03-04 09:20:42
78,2024-03-04 09:20:54,1.0,E24,route_E24_A2,9,2024-03-04 09:20:45
84,2024-03-04 09:20:56,1.0,E24,route_E24_A2,9,2024-03-04 09:20:47
94,2024-03-04 09:20:58,1.0,E24,route_E24_A2,9,2024-03-04 09:20:49
509,2024-03-04 09:20:54,1.0,E15,route_E15_A16,1,2024-03-04 09:20:53
248,2024-03-04 09:20:56,1.0,E4,route_E4_A16,3,2024-03-04 09:20:53
102,2024-03-04 09:21:02,1.0,E24,route_E24_A6,9,2024-03-04 09:20:53
95,2024-03-04 09:21:04,1.0,E24,route_E24_A2,9,2024-03-04 09:20:55
232,2024-03-04 09:20:56,1.0,E17,route_E17_A6,1,2024-03-04 09:20:55
