,Datetime,n_spawn,entrance,route,spawn_delay,Adjusted_Datetime
82,2024-03-04 09:17:05,1.0,E4,route_E4_A7,3,2024-03-04 09:17:02
50,2024-03-04 09:17:05,1.0,E7,route_E7_A16,2,2024-03-04 09:17:03
425,2024-03-04 09:17:08,1.0,E12,route_E12_A8,3,2024-03-04 09:17:05
51,2024-03-04 09:17:11,1.0,E7,route_E7_A16,2,2024-03-04 09:17:09
3,2024-03-04 09:17:13,1.0,E6,route_E6_A2,2,2024-03-04 09:17:11
444,2024-03-04 09:17:14,1.0,E11,route_E11_A7,2,2024-03-04 09:17:12
4,2024-03-04 09:17:15,1.0,E6,route_E6_A2,2,2024-03-04 09:17:13
445,2024-03-04 09:17:17,1.0,E11,route_E11_A7,2,2024-03-04 09:17:15
466,2024-03-04 09:17:18,1.0,E9,route_E9_A2,3,2024-03-04 09:17:15
108,2024-03-04 09:17:20,1.0,E4,route_E4_A16,3,2024-03-04 09:17:17
464,2024-03-04 09:17:20,1.0,E10,route_E10_A5,1,2024-03-04 09:17:19
109,2024-03-04 09:17:25,1.0,E4,route_E4_A16,3,2024-03-04 09:17:22
110,2024-03-04 09:17:28,1.0,E4,route_E4_A7,3,2024-03-04 09:17:25
60,2024-03-04 09:17:34,1.0,E24,route_E24_A2,9,2024-03-04 09:17:25
59,2024-03-04 09:17:37,1.0,E24,route_E24_A2,9,2024-03-04 09:17:28
69,2024-03-04 09:17:39,1.0,E24,route_E24_A1,9,2024-03-04 09:17:30
83,2024-03-04 09:17:41,1.0,E24,route_E24_A2,9,2024-03-04 09:17:32
333,2024-03-04 09:17:36,1.0,E5,route_E5_A3,4,2024-03-04 09:17:32
95,2024-03-04 09:17:44,1.0,E24,route_E24_A2,9,2024-03-04 09:17:35
84,2024-03-04 09:17:47,1.0,E24,route_E24_A2,9,2024-03-04 09:17:38
106,2024-03-04 09:17:49,1.0,E24,route_E24_A2,9,2024-03-04 09:17:40
105,2024-03-04 09:17:51,1.0,E24,route_E24_A2,9,2024-03-04 09:17:42
137,2024-03-04 09:17:49,1.0,E4,route_E4_A7,3,2024-03-04 09:17:46
104,2024-03-04 09:17:55,1.0,E24,route_E24_A6,9,2024-03-04 09:17:46
103,2024-03-04 09:17:57,1.0,E24,route_E24_A2,9,2024-03-04 09:17:48
138,2024-03-04 09:17:52,1.0,E4,route_E4_A7,3,2024-03-04 09:17:49
446,2024-03-04 09:17:53,1.0,E11,route_E11_A7,2,2024-03-04 09:17:51
139,2024-03-04 09:17:55,1.0,E4,route_E4_A16,3,2024-03-04 09:17:52
102,2024-03-04 09:18:01,1.0,E24,route_E24_A2,9,2024-03-04 09:17:52
101,2024-03-04 09:18:03,1.0,E24,route_E24_A2,9,2024-03-04 09:17:54
140,2024-03-04 09:17:58,1.0,E4,route_E4_A7,3,2024-03-04 09:17:55
334,2024-03-04 09:18:00,1.0,E5,route_E5_A3,4,2024-03-04 09:17:56
100,2024-03-04 09:18:05,1.0,E24,route_E24_A2,9,2024-03-04 09:17:56
335,2024-03-04 09:18:06,1.0,E5,route_E5_A3,4,2024-03-04 09:18:02
484,2024-03-04 09:18:06,1.0,E2,route_E2_A3,0,2024-03-04 09:18:06
479,2024-03-04 09:18:09,1.0,E2,route_E2_A3,0,2024-03-04 09:18:09
362,2024-03-04 09:18:10,1.0,E22,route_E22_A2,0,2024-03-04 09:18:10
485,2024-03-04 09:18:10,1.0,E2,route_E2_A3,0,2024-03-04 09:18:10
486,2024-03-04 09:18:13,1.0,E2,route_E2_A3,0,2024-03-04 09:18:13
435,2024-03-04 09:18:15,1.0,E15,route_E15_A2,1,2024-03-04 09:18:14
487,2024-03-04 09:18:15,1.0,E2,route_E2_A3,0,2024-03-04 09:18:15
488,2024-03-04 09:18:17,1.0,E2,route_E2_A3,0,2024-03-04 09:18:17
489,2024-03-04 09:18:19,1.0,E2,route_E2_A3,0,2024-03-04 09:18:19
