,Datetime,n_spawn,entrance,route,spawn_delay,Adjusted_Datetime
990,2024-03-04 09:15:04,1.0,E4,route_E4_A18,3,2024-03-04 09:15:01
771,2024-03-04 09:15:05,1.0,E10,route_E10_A5,1,2024-03-04 09:15:04
999,2024-03-04 09:15:07,1.0,E4,route_E4_A7,3,2024-03-04 09:15:04
379,2024-03-04 09:15:23,1.0,E22,route_E22_A1,0,2024-03-04 09:15:23
569,2024-03-04 09:15:28,1.0,E12,route_E12_A18,3,2024-03-04 09:15:25
45,2024-03-04 09:15:27,1.0,E7,route_E7_A16,2,2024-03-04 09:15:25
374,2024-03-04 09:15:30,1.0,E5,route_E5_A3,4,2024-03-04 09:15:26
380,2024-03-04 09:15:27,1.0,E22,route_E22_A1,0,2024-03-04 09:15:27
1122,2024-03-04 09:15:28,1.0,E2,route_E2_A3,0,2024-03-04 09:15:28
44,2024-03-04 09:15:30,1.0,E7,route_E7_A16,2,2024-03-04 09:15:28
381,2024-03-04 09:15:29,1.0,E22,route_E22_A2,0,2024-03-04 09:15:29
1140,2024-03-04 09:15:30,1.0,E2,route_E2_A3,0,2024-03-04 09:15:30
1139,2024-03-04 09:15:33,1.0,E2,route_E2_A3,0,2024-03-04 09:15:33
382,2024-03-04 09:15:34,1.0,E22,route_E22_A7,0,2024-03-04 09:15:34
1138,2024-03-04 09:15:35,1.0,E2,route_E2_A3,0,2024-03-04 09:15:35
1137,2024-03-04 09:15:38,1.0,E2,route_E2_A3,0,2024-03-04 09:15:38
384,2024-03-04 09:15:41,1.0,E22,route_E22_A2,0,2024-03-04 09:15:41
398,2024-03-04 09:15:47,1.0,E22,route_E22_A2,0,2024-03-04 09:15:47
989,2024-03-04 09:15:51,1.0,E4,route_E4_A16,3,2024-03-04 09:15:48
977,2024-03-04 09:15:53,1.0,E4,route_E4_A16,3,2024-03-04 09:15:50
969,2024-03-04 09:15:56,1.0,E4,route_E4_A16,3,2024-03-04 09:15:53
385,2024-03-04 09:15:54,1.0,E22,route_E22_A2,0,2024-03-04 09:15:54
970,2024-03-04 09:15:59,1.0,E4,route_E4_A16,3,2024-03-04 09:15:56
386,2024-03-04 09:15:57,1.0,E22,route_E22_A2,0,2024-03-04 09:15:57
971,2024-03-04 09:16:03,1.0,E4,route_E4_A16,3,2024-03-04 09:16:00
387,2024-03-04 09:16:02,1.0,E22,route_E22_A2,0,2024-03-04 09:16:02
972,2024-03-04 09:16:05,1.0,E4,route_E4_A15,3,2024-03-04 09:16:02
373,2024-03-04 09:16:06,1.0,E5,route_E5_A3,4,2024-03-04 09:16:02
772,2024-03-04 09:16:18,1.0,E16,route_E16_A4,15,2024-03-04 09:16:03
388,2024-03-04 09:16:04,1.0,E22,route_E22_A2,0,2024-03-04 09:16:04
973,2024-03-04 09:16:08,1.0,E4,route_E4_A16,3,2024-03-04 09:16:05
389,2024-03-04 09:16:09,1.0,E22,route_E22_A1,0,2024-03-04 09:16:09
974,2024-03-04 09:16:14,1.0,E4,route_E4_A18,3,2024-03-04 09:16:11
1331,2024-03-04 09:16:21,1.0,E24,route_E24_A2,9,2024-03-04 09:16:12
390,2024-03-04 09:16:12,1.0,E22,route_E22_A6,0,2024-03-04 09:16:12
975,2024-03-04 09:16:16,1.0,E4,route_E4_A18,3,2024-03-04 09:16:13
391,2024-03-04 09:16:14,1.0,E22,route_E22_A6,0,2024-03-04 09:16:14
466,2024-03-04 09:16:23,1.0,E18,route_E18_A9,9,2024-03-04 09:16:14
699,2024-03-04 09:16:17,1.0,E11,route_E11_A7,2,2024-03-04 09:16:15
1330,2024-03-04 09:16:24,1.0,E24,route_E24_A6,9,2024-03-04 09:16:15
1335,2024-03-04 09:16:18,1.0,E3,route_E3_A1,3,2024-03-04 09:16:15
1336,2024-03-04 09:16:19,1.0,E3,route_E3_A1,3,2024-03-04 09:16:16
392,2024-03-04 09:16:17,1.0,E22,route_E22_A1,0,2024-03-04 09:16:17
1329,2024-03-04 09:16:27,1.0,E24,route_E24_A2,9,2024-03-04 09:16:18
1337,2024-03-04 09:16:21,1.0,E3,route_E3_A1,3,2024-03-04 09:16:18
393,2024-03-04 09:16:18,1.0,E22,route_E22_A6,0,2024-03-04 09:16:18
1338,2024-03-04 09:16:23,1.0,E3,route_E3_A1,3,2024-03-04 09:16:20
394,2024-03-04 09:16:21,1.0,E22,route_E22_A2,0,2024-03-04 09:16:21
1339,2024-03-04 09:16:25,1.0,E3,route_E3_A1,3,2024-03-04 09:16:22
1328,2024-03-04 09:16:32,1.0,E24,route_E24_A2,9,2024-03-04 09:16:23
1340,2024-03-04 09:16:27,1.0,E3,route_E3_A1,3,2024-03-04 09:16:24
976,2024-03-04 09:16:30,1.0,E4,route_E4_A18,3,2024-03-04 09:16:27
765,2024-03-04 09:16:30,1.0,E9,route_E9_A6,3,2024-03-04 09:16:27
770,2024-03-04 09:16:29,1.0,E10,route_E10_A5,1,2024-03-04 09:16:28
1362,2024-03-04 09:16:33,1.0,E3,route_E3_A1,3,2024-03-04 09:16:30
978,2024-03-04 09:16:36,1.0,E4,route_E4_A7,3,2024-03-04 09:16:33
987,2024-03-04 09:16:39,1.0,E4,route_E4_A16,3,2024-03-04 09:16:36
979,2024-03-04 09:16:41,1.0,E4,route_E4_A16,3,2024-03-04 09:16:38
553,2024-03-04 09:16:45,1.0,E13,route_E13_A2,4,2024-03-04 09:16:41
552,2024-03-04 09:16:47,1.0,E13,route_E13_A2,4,2024-03-04 09:16:43
568,2024-03-04 09:16:46,1.0,E12,route_E12_A8,3,2024-03-04 09:16:43
551,2024-03-04 09:16:48,1.0,E13,route_E13_A2,4,2024-03-04 09:16:44
550,2024-03-04 09:16:50,1.0,E13,route_E13_A2,4,2024-03-04 09:16:46
549,2024-03-04 09:16:52,1.0,E13,route_E13_A2,4,2024-03-04 09:16:48
548,2024-03-04 09:16:54,1.0,E13,route_E13_A2,4,2024-03-04 09:16:50
372,2024-03-04 09:16:58,1.0,E5,route_E5_A3,4,2024-03-04 09:16:54
465,2024-03-04 09:16:57,1.0,E6,route_E6_A2,2,2024-03-04 09:16:55
43,2024-03-04 09:16:58,1.0,E7,route_E7_A7,2,2024-03-04 09:16:56
395,2024-03-04 09:16:59,1.0,E22,route_E22_A6,0,2024-03-04 09:16:59
464,2024-03-04 09:17:01,1.0,E6,route_E6_A2,2,2024-03-04 09:16:59
42,2024-03-04 09:17:02,1.0,E7,route_E7_A16,2,2024-03-04 09:17:00
980,2024-03-04 09:17:05,1.0,E4,route_E4_A7,3,2024-03-04 09:17:02
396,2024-03-04 09:17:02,1.0,E22,route_E22_A2,0,2024-03-04 09:17:02
41,2024-03-04 09:17:05,1.0,E7,route_E7_A16,2,2024-03-04 09:17:03
567,2024-03-04 09:17:08,1.0,E12,route_E12_A16,3,2024-03-04 09:17:05
40,2024-03-04 09:17:11,1.0,E7,route_E7_A16,2,2024-03-04 09:17:09
463,2024-03-04 09:17:13,1.0,E6,route_E6_A2,2,2024-03-04 09:17:11
698,2024-03-04 09:17:14,1.0,E11,route_E11_A7,2,2024-03-04 09:17:12
462,2024-03-04 09:17:15,1.0,E6,route_E6_A2,2,2024-03-04 09:17:13
697,2024-03-04 09:17:17,1.0,E11,route_E11_A18,2,2024-03-04 09:17:15
764,2024-03-04 09:17:18,1.0,E9,route_E9_A6,3,2024-03-04 09:17:15
981,2024-03-04 09:17:20,1.0,E4,route_E4_A18,3,2024-03-04 09:17:17
755,2024-03-04 09:17:20,1.0,E10,route_E10_A5,1,2024-03-04 09:17:19
982,2024-03-04 09:17:25,1.0,E4,route_E4_A7,3,2024-03-04 09:17:22
983,2024-03-04 09:17:28,1.0,E4,route_E4_A16,3,2024-03-04 09:17:25
1327,2024-03-04 09:17:34,1.0,E24,route_E24_A2,9,2024-03-04 09:17:25
1326,2024-03-04 09:17:37,1.0,E24,route_E24_A7,9,2024-03-04 09:17:28
1325,2024-03-04 09:17:39,1.0,E24,route_E24_A2,9,2024-03-04 09:17:30
1332,2024-03-04 09:17:41,1.0,E24,route_E24_A2,9,2024-03-04 09:17:32
371,2024-03-04 09:17:36,1.0,E5,route_E5_A3,4,2024-03-04 09:17:32
1342,2024-03-04 09:17:44,1.0,E24,route_E24_A6,9,2024-03-04 09:17:35
1457,2024-03-04 09:17:47,1.0,E24,route_E24_A7,9,2024-03-04 09:17:38
1456,2024-03-04 09:17:49,1.0,E24,route_E24_A2,9,2024-03-04 09:17:40
1455,2024-03-04 09:17:51,1.0,E24,route_E24_A6,9,2024-03-04 09:17:42
984,2024-03-04 09:17:49,1.0,E4,route_E4_A16,3,2024-03-04 09:17:46
1469,2024-03-04 09:17:55,1.0,E24,route_E24_A6,9,2024-03-04 09:17:46
1453,2024-03-04 09:17:57,1.0,E24,route_E24_A2,9,2024-03-04 09:17:48
985,2024-03-04 09:17:52,1.0,E4,route_E4_A7,3,2024-03-04 09:17:49
696,2024-03-04 09:17:53,1.0,E11,route_E11_A18,2,2024-03-04 09:17:51
1452,2024-03-04 09:18:01,1.0,E24,route_E24_A6,9,2024-03-04 09:17:52
986,2024-03-04 09:17:55,1.0,E4,route_E4_A7,3,2024-03-04 09:17:52
1451,2024-03-04 09:18:03,1.0,E24,route_E24_A2,9,2024-03-04 09:17:54
988,2024-03-04 09:17:58,1.0,E4,route_E4_A18,3,2024-03-04 09:17:55
370,2024-03-04 09:18:00,1.0,E5,route_E5_A3,4,2024-03-04 09:17:56
1458,2024-03-04 09:18:05,1.0,E24,route_E24_A2,9,2024-03-04 09:17:56
338,2024-03-04 09:18:06,1.0,E5,route_E5_A3,4,2024-03-04 09:18:02
1136,2024-03-04 09:18:06,1.0,E2,route_E2_A3,0,2024-03-04 09:18:06
1135,2024-03-04 09:18:09,1.0,E2,route_E2_A3,0,2024-03-04 09:18:09
397,2024-03-04 09:18:10,1.0,E22,route_E22_A2,0,2024-03-04 09:18:10
1134,2024-03-04 09:18:10,1.0,E2,route_E2_A3,0,2024-03-04 09:18:10
1133,2024-03-04 09:18:13,1.0,E2,route_E2_A3,0,2024-03-04 09:18:13
1141,2024-03-04 09:18:15,1.0,E2,route_E2_A3,0,2024-03-04 09:18:15
1132,2024-03-04 09:18:17,1.0,E2,route_E2_A3,0,2024-03-04 09:18:17
1130,2024-03-04 09:18:19,1.0,E2,route_E2_A3,0,2024-03-04 09:18:19
1129,2024-03-04 09:18:22,1.0,E2,route_E2_A3,0,2024-03-04 09:18:22
369,2024-03-04 09:18:22,1.0,E22,route_E22_A7,0,2024-03-04 09:18:22
368,2024-03-04 09:18:24,1.0,E22,route_E22_A2,0,2024-03-04 09:18:24
1128,2024-03-04 09:18:24,1.0,E2,route_E2_A3,0,2024-03-04 09:18:24
1127,2024-03-04 09:18:26,1.0,E2,route_E2_A3,0,2024-03-04 09:18:26
367,2024-03-04 09:18:29,1.0,E22,route_E22_A2,0,2024-03-04 09:18:29
1364,2024-03-04 09:18:35,1.0,E3,route_E3_A1,3,2024-03-04 09:18:32
763,2024-03-04 09:18:35,1.0,E9,route_E9_A6,3,2024-03-04 09:18:32
337,2024-03-04 09:18:36,1.0,E5,route_E5_A3,4,2024-03-04 09:18:32
1468,2024-03-04 09:18:43,1.0,E24,route_E24_A2,9,2024-03-04 09:18:34
1403,2024-03-04 09:18:38,1.0,E3,route_E3_A1,3,2024-03-04 09:18:35
336,2024-03-04 09:18:40,1.0,E5,route_E5_A3,4,2024-03-04 09:18:36
1473,2024-03-04 09:18:46,1.0,E24,route_E24_A2,9,2024-03-04 09:18:37
1365,2024-03-04 09:18:41,1.0,E3,route_E3_A1,3,2024-03-04 09:18:38
1386,2024-03-04 09:18:43,1.0,E3,route_E3_A1,3,2024-03-04 09:18:40
1470,2024-03-04 09:18:49,1.0,E24,route_E24_A6,9,2024-03-04 09:18:40
366,2024-03-04 09:18:42,1.0,E22,route_E22_A2,0,2024-03-04 09:18:42
762,2024-03-04 09:18:45,1.0,E9,route_E9_A6,3,2024-03-04 09:18:42
1387,2024-03-04 09:18:45,1.0,E3,route_E3_A1,3,2024-03-04 09:18:42
1482,2024-03-04 09:18:52,1.0,E24,route_E24_A2,9,2024-03-04 09:18:43
1483,2024-03-04 09:18:54,1.0,E24,route_E24_A7,9,2024-03-04 09:18:45
339,2024-03-04 09:18:46,1.0,E22,route_E22_A7,0,2024-03-04 09:18:46
566,2024-03-04 09:18:49,1.0,E12,route_E12_A18,3,2024-03-04 09:18:46
1487,2024-03-04 09:18:57,1.0,E24,route_E24_A2,9,2024-03-04 09:18:48
565,2024-03-04 09:18:52,1.0,E12,route_E12_A16,3,2024-03-04 09:18:49
695,2024-03-04 09:18:52,1.0,E11,route_E11_A18,2,2024-03-04 09:18:50
1485,2024-03-04 09:19:00,1.0,E24,route_E24_A2,9,2024-03-04 09:18:51
564,2024-03-04 09:18:55,1.0,E12,route_E12_A18,3,2024-03-04 09:18:52
1486,2024-03-04 09:19:02,1.0,E24,route_E24_A2,9,2024-03-04 09:18:53
1480,2024-03-04 09:19:05,1.0,E24,route_E24_A2,9,2024-03-04 09:18:56
